day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;INTARIAN_PEPPER_ROOT;10994;11;;;;;11009;31;;;;;11002;0.0
-1;0;ASH_COATED_OSMIUM;9982;26;;;;;10000;16;10003;26;;;9991;0.0
-1;100;ASH_COATED_OSMIUM;9984;19;;;;;10000;19;10003;32;;;9992;0.0
-1;100;INTARIAN_PEPPER_ROOT;10994;10;10991;28;;;11006;10;11009;28;;;11000;0.0
-1;200;ASH_COATED_OSMIUM;9985;19;9982;38;;;10001;19;;;;;9993;0.0
-1;200;INTARIAN_PEPPER_ROOT;;;;;;;11006;11;11009;28;;;11006;0.0
-1;300;INTARIAN_PEPPER_ROOT;10994;10;;;;;11009;29;;;;;11002;0.0
-1;300;ASH_COATED_OSMIUM;9982;34;;;;;10003;34;;;;;9992;0.0
-1;400;INTARIAN_PEPPER_ROOT;10994;12;10992;19;;;11006;12;11009;19;;;11000;0.0
-1;400;ASH_COATED_OSMIUM;9995;10;9985;15;9983;31;10001;15;10004;31;;;9998;0.0
-1;500;ASH_COATED_OSMIUM;9985;14;9983;28;;;10001;14;10004;28;;;9993;0.0
-1;500;INTARIAN_PEPPER_ROOT;;;;;;;11009;24;;;;;11009;0.0
-1;600;ASH_COATED_OSMIUM;9986;16;;;;;10002;16;10004;31;;;9994;0.0
-1;600;INTARIAN_PEPPER_ROOT;10995;14;10992;29;;;11007;14;;;;;11001;0.0
-1;700;INTARIAN_PEPPER_ROOT;10995;11;;;;;11007;11;11009;30;;;11001;0.0
-1;700;ASH_COATED_OSMIUM;9985;14;9983;29;;;10001;14;10004;29;;;9993;0.0
-1;800;INTARIAN_PEPPER_ROOT;10995;10;;;;;11007;10;11010;25;;;11001;0.0
-1;800;ASH_COATED_OSMIUM;9985;15;9983;34;;;10004;34;;;;;9994;0.0
-1;900;ASH_COATED_OSMIUM;9985;15;9982;26;;;10001;15;;;;;9993;0.0
-1;900;INTARIAN_PEPPER_ROOT;10992;31;;;;;11007;10;11010;31;;;11000;0.0
-1;1000;ASH_COATED_OSMIUM;9985;18;9983;35;;;10001;18;10004;35;;;9993;0.0
-1;1000;INTARIAN_PEPPER_ROOT;10992;26;;;;;11007;12;11010;26;;;11000;0.0
-1;1100;INTARIAN_PEPPER_ROOT;10995;14;;;;;11007;14;;;;;11001;0.0
