day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;INTARIAN_PEPPER_ROOT;12993;11;12990;31;;;13007;11;13010;31;;;13000;0.0
1;0;ASH_COATED_OSMIUM;10000;16;9998;26;;;10016;16;10019;26;;;10008;0.0
1;100;INTARIAN_PEPPER_ROOT;12993;10;;;;;13007;10;13010;28;;;13000;0.0
1;100;ASH_COATED_OSMIUM;10000;19;9998;32;;;10019;32;;;;;10010;0.0
1;200;ASH_COATED_OSMIUM;10000;19;9998;38;;;10019;38;;;;;10010;0.0
1;200;INTARIAN_PEPPER_ROOT;12993;11;12990;28;;;13010;28;;;;;13002;0.0
1;300;INTARIAN_PEPPER_ROOT;12993;10;12990;29;;;13007;10;13011;29;;;13000;0.0
1;300;ASH_COATED_OSMIUM;9998;34;;;;;10016;15;10019;34;;;10007;0.0
1;400;INTARIAN_PEPPER_ROOT;12993;12;12990;19;;;13007;12;13011;19;;;13000;0.0
1;400;ASH_COATED_OSMIUM;10010;10;10000;15;9998;31;10016;15;10019;31;;;10013;0.0
1;500;INTARIAN_PEPPER_ROOT;12993;11;12990;24;;;13007;11;13011;24;;;13000;0.0
1;500;ASH_COATED_OSMIUM;10000;14;9998;28;;;10017;14;10019;28;;;10008;0.0
1;600;ASH_COATED_OSMIUM;10000;16;9998;31;;;10019;31;;;;;10010;0.0
1;600;INTARIAN_PEPPER_ROOT;12990;29;;;;;13008;14;13011;29;;;12999;0.0
1;700;INTARIAN_PEPPER_ROOT;12994;11;12990;30;;;13008;11;13011;30;;;13001;0.0
1;700;ASH_COATED_OSMIUM;10000;14;;;;;10016;14;;;;;10008;0.0
1;800;INTARIAN_PEPPER_ROOT;12994;10;;;;;13008;10;13011;25;;;13001;0.0
1;800;ASH_COATED_OSMIUM;10001;15;9998;34;;;10019;34;;;;;10010;0.0
1;900;INTARIAN_PEPPER_ROOT;12994;10;12991;31;;;13011;31;;;;;13002;0.0
1;900;ASH_COATED_OSMIUM;10001;15;9998;26;;;10019;26;;;;;10010;0.0
1;1000;ASH_COATED_OSMIUM;10001;18;9998;35;;;10017;18;10019;35;;;10009;0.0
1;1000;INTARIAN_PEPPER_ROOT;12994;12;12991;26;;;13008;12;13011;26;;;13001;0.0
1;1100;INTARIAN_PEPPER_ROOT;12994;14;12991;30;;;13008;14;13011;30;;;13001;0.0
1;1100;ASH_COATED_OSMIUM;10001;16;9998;35;;;10017;16;10019;35;;;10009;0.0
1;1200;INTARIAN_PEPPER_ROOT;12994;11;12991;28;;;13011;28;;;;;13002;0.0
1;1200;ASH_COATED_OSMIUM;10001;15;;;;;;;;;;;10001;0.0
1;1300;INTARIAN_PEPPER_ROOT;12994;15;12991;20;;;13008;15;;;;;13001;0.0
1;1300;ASH_COATED_OSMIUM;10001;16;9999;29;;;10017;16;;;;;10009;0.0
1;1400;ASH_COATED_OSMIUM;;;;;;;10017;12;10020;30;;;10017;0.0
1;1400;INTARIAN_PEPPER_ROOT;12994;12;12991;21;;;13008;12;13012;21;;;13001;0.0
1;1500;INTARIAN_PEPPER_ROOT;12994;14;12991;20;;;13012;20;;;;;13003;0.0
1;1500;ASH_COATED_OSMIUM;10001;15;9999;36;;;10017;15;10020;36;;;10009;0.0
1;1600;INTARIAN_PEPPER_ROOT;12995;10;12991;29;;;13009;10;13012;29;;;13002;0.0
1;1600;ASH_COATED_OSMIUM;10001;18;9999;29;;;10017;18;10020;29;;;10009;0.0
1;1700;INTARIAN_PEPPER_ROOT;12995;11;12991;19;;;13009;11;13012;19;;;13002;0.0
