timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;9982;6
3600;;;ASH_COATED_OSMIUM;XIRECS;10001;3
4200;;;ASH_COATED_OSMIUM;XIRECS;10002;2
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;11010;5
5000;;;INTARIAN_PEPPER_ROOT;XIRECS;10996;5
9100;;;ASH_COATED_OSMIUM;XIRECS;9994;4
9600;;;ASH_COATED_OSMIUM;XIRECS;9989;6
10000;;;ASH_COATED_OSMIUM;XIRECS;9988;8
12100;;;ASH_COATED_OSMIUM;XIRECS;9989;5
15100;;;ASH_COATED_OSMIUM;XIRECS;10011;2
15100;;;ASH_COATED_OSMIUM;XIRECS;10011;8
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;11014;3
18500;;;ASH_COATED_OSMIUM;XIRECS;10010;6
23000;;;INTARIAN_PEPPER_ROOT;XIRECS;11014;4
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;11019;4
23900;;;ASH_COATED_OSMIUM;XIRECS;9991;4
24300;;;ASH_COATED_OSMIUM;XIRECS;9992;4
24600;;;ASH_COATED_OSMIUM;XIRECS;9991;3
30400;;;ASH_COATED_OSMIUM;XIRECS;10010;2
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;11036;6
32800;;;ASH_COATED_OSMIUM;XIRECS;9993;4
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;11036;7
34000;;;ASH_COATED_OSMIUM;XIRECS;10010;7
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;11043;3
34500;;;ASH_COATED_OSMIUM;XIRECS;9994;8
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11042;7
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11039;3
35800;;;INTARIAN_PEPPER_ROOT;XIRECS;11032;7
36500;;;ASH_COATED_OSMIUM;XIRECS;10013;3
37900;;;ASH_COATED_OSMIUM;XIRECS;9996;4
38400;;;ASH_COATED_OSMIUM;XIRECS;10012;3
39100;;;ASH_COATED_OSMIUM;XIRECS;10011;6
39900;;;ASH_COATED_OSMIUM;XIRECS;10013;7
41500;;;ASH_COATED_OSMIUM;XIRECS;10009;5
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;11052;5
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;11041;8
50900;;;ASH_COATED_OSMIUM;XIRECS;9990;5
51400;;;INTARIAN_PEPPER_ROOT;XIRECS;11045;4
54600;;;ASH_COATED_OSMIUM;XIRECS;9986;6
57000;;;INTARIAN_PEPPER_ROOT;XIRECS;11063;4
58400;;;ASH_COATED_OSMIUM;XIRECS;9990;3
59500;;;ASH_COATED_OSMIUM;XIRECS;10007;2
61700;;;INTARIAN_PEPPER_ROOT;XIRECS;11068;6
62000;;;ASH_COATED_OSMIUM;XIRECS;10008;6
63700;;;ASH_COATED_OSMIUM;XIRECS;9990;2
64300;;;INTARIAN_PEPPER_ROOT;XIRECS;11060;3
64900;;;ASH_COATED_OSMIUM;XIRECS;10005;4
65300;;;ASH_COATED_OSMIUM;XIRECS;9989;2
67600;;;INTARIAN_PEPPER_ROOT;XIRECS;11070;4
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;11068;4
73700;;;INTARIAN_PEPPER_ROOT;XIRECS;11065;4
76300;;;ASH_COATED_OSMIUM;XIRECS;9994;6
76500;;;ASH_COATED_OSMIUM;XIRECS;10013;8
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;11071;3
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;11074;5
83000;;;INTARIAN_PEPPER_ROOT;XIRECS;11086;6
83700;;;ASH_COATED_OSMIUM;XIRECS;10009;2
84400;;;INTARIAN_PEPPER_ROOT;XIRECS;11087;5
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;11091;6
84800;;;INTARIAN_PEPPER_ROOT;XIRECS;11088;5
85500;;;ASH_COATED_OSMIUM;XIRECS;9995;7
85700;;;ASH_COATED_OSMIUM;XIRECS;10011;3
85900;;;ASH_COATED_OSMIUM;XIRECS;9995;5
87400;;;INTARIAN_PEPPER_ROOT;XIRECS;11081;3
87900;;;ASH_COATED_OSMIUM;XIRECS;9993;5
88300;;;ASH_COATED_OSMIUM;XIRECS;10011;2
90200;;;ASH_COATED_OSMIUM;XIRECS;10011;10
90700;;;ASH_COATED_OSMIUM;XIRECS;10015;2
90800;;;ASH_COATED_OSMIUM;XIRECS;9994;6
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;11088;8
92500;;;INTARIAN_PEPPER_ROOT;XIRECS;11101;7
95100;;;INTARIAN_PEPPER_ROOT;XIRECS;11091;8
95900;;;ASH_COATED_OSMIUM;XIRECS;10007;3
96900;;;ASH_COATED_OSMIUM;XIRECS;10007;6
96900;;;ASH_COATED_OSMIUM;XIRECS;10007;8
97200;;;INTARIAN_PEPPER_ROOT;XIRECS;11103;7
105900;;;ASH_COATED_OSMIUM;XIRECS;10011;5
107000;;;INTARIAN_PEPPER_ROOT;XIRECS;11113;7
107200;;;ASH_COATED_OSMIUM;XIRECS;9991;3
108800;;;INTARIAN_PEPPER_ROOT;XIRECS;11112;3
109800;;;INTARIAN_PEPPER_ROOT;XIRECS;11116;4
111600;;;ASH_COATED_OSMIUM;XIRECS;9992;5
114700;;;ASH_COATED_OSMIUM;XIRECS;9991;3
116100;;;ASH_COATED_OSMIUM;XIRECS;9989;8
117500;;;INTARIAN_PEPPER_ROOT;XIRECS;11111;6
122000;;;ASH_COATED_OSMIUM;XIRECS;10007;10
122300;;;ASH_COATED_OSMIUM;XIRECS;10007;5
122400;;;INTARIAN_PEPPER_ROOT;XIRECS;11128;7
124500;;;ASH_COATED_OSMIUM;XIRECS;9989;2
126400;;;ASH_COATED_OSMIUM;XIRECS;9988;6
126500;;;ASH_COATED_OSMIUM;XIRECS;9988;6
127800;;;ASH_COATED_OSMIUM;XIRECS;10003;2
127800;;;INTARIAN_PEPPER_ROOT;XIRECS;11122;3
129500;;;INTARIAN_PEPPER_ROOT;XIRECS;11136;3
130300;;;ASH_COATED_OSMIUM;XIRECS;10003;2
131100;;;INTARIAN_PEPPER_ROOT;XIRECS;11137;4
131400;;;ASH_COATED_OSMIUM;XIRECS;10003;2
132300;;;INTARIAN_PEPPER_ROOT;XIRECS;11126;3
134400;;;INTARIAN_PEPPER_ROOT;XIRECS;11140;4
137700;;;ASH_COATED_OSMIUM;XIRECS;10007;3
138000;;;INTARIAN_PEPPER_ROOT;XIRECS;11129;4
139400;;;ASH_COATED_OSMIUM;XIRECS;9989;6
139400;;;ASH_COATED_OSMIUM;XIRECS;9989;5
141900;;;INTARIAN_PEPPER_ROOT;XIRECS;11136;4
142000;;;ASH_COATED_OSMIUM;XIRECS;9992;2
142200;;;ASH_COATED_OSMIUM;XIRECS;9992;6
146700;;;ASH_COATED_OSMIUM;XIRECS;10009;6
148200;;;INTARIAN_PEPPER_ROOT;XIRECS;11142;7
149500;;;ASH_COATED_OSMIUM;XIRECS;10009;9
153200;;;ASH_COATED_OSMIUM;XIRECS;9994;5
154600;;;ASH_COATED_OSMIUM;XIRECS;9992;2
155300;;;ASH_COATED_OSMIUM;XIRECS;10009;10
155500;;;ASH_COATED_OSMIUM;XIRECS;10013;6
155700;;;ASH_COATED_OSMIUM;XIRECS;10010;7
155800;;;ASH_COATED_OSMIUM;XIRECS;9995;5
158200;;;ASH_COATED_OSMIUM;XIRECS;9994;5
164200;;;INTARIAN_PEPPER_ROOT;XIRECS;11160;7
165300;;;ASH_COATED_OSMIUM;XIRECS;9988;5
172700;;;ASH_COATED_OSMIUM;XIRECS;10008;4
173100;;;ASH_COATED_OSMIUM;XIRECS;10002;2
177700;;;ASH_COATED_OSMIUM;XIRECS;9989;10
177900;;;INTARIAN_PEPPER_ROOT;XIRECS;11172;5
181600;;;ASH_COATED_OSMIUM;XIRECS;9994;2
182700;;;ASH_COATED_OSMIUM;XIRECS;9993;5
184800;;;ASH_COATED_OSMIUM;XIRECS;9995;4
185500;;;INTARIAN_PEPPER_ROOT;XIRECS;11188;5
185900;;;ASH_COATED_OSMIUM;XIRECS;9996;10
186800;;;ASH_COATED_OSMIUM;XIRECS;9995;4
189700;;;INTARIAN_PEPPER_ROOT;XIRECS;11186;6
190400;;;ASH_COATED_OSMIUM;XIRECS;10011;3
191800;;;INTARIAN_PEPPER_ROOT;XIRECS;11186;4
192600;;;ASH_COATED_OSMIUM;XIRECS;9997;8
192900;;;ASH_COATED_OSMIUM;XIRECS;10016;10
194900;;;INTARIAN_PEPPER_ROOT;XIRECS;11191;6
197300;;;ASH_COATED_OSMIUM;XIRECS;9996;9
198600;;;INTARIAN_PEPPER_ROOT;XIRECS;11193;5
199400;;;INTARIAN_PEPPER_ROOT;XIRECS;11205;5
200100;;;ASH_COATED_OSMIUM;XIRECS;9994;6
200300;;;ASH_COATED_OSMIUM;XIRECS;9992;10
200400;;;ASH_COATED_OSMIUM;XIRECS;10011;2
200600;;;ASH_COATED_OSMIUM;XIRECS;10010;2
200700;;;ASH_COATED_OSMIUM;XIRECS;10010;8
201700;;;ASH_COATED_OSMIUM;XIRECS;9993;4
204000;;;INTARIAN_PEPPER_ROOT;XIRECS;11210;7
204600;;;INTARIAN_PEPPER_ROOT;XIRECS;11198;5
205600;;;ASH_COATED_OSMIUM;XIRECS;9992;2
206600;;;ASH_COATED_OSMIUM;XIRECS;9993;7
207500;;;INTARIAN_PEPPER_ROOT;XIRECS;11214;3
208900;;;ASH_COATED_OSMIUM;XIRECS;9994;10
210000;;;ASH_COATED_OSMIUM;XIRECS;9991;4
211400;;;INTARIAN_PEPPER_ROOT;XIRECS;11208;7
212100;;;INTARIAN_PEPPER_ROOT;XIRECS;11215;4
212700;;;ASH_COATED_OSMIUM;XIRECS;9994;6
212900;;;INTARIAN_PEPPER_ROOT;XIRECS;11209;5
215000;;;INTARIAN_PEPPER_ROOT;XIRECS;11221;7
217000;;;INTARIAN_PEPPER_ROOT;XIRECS;11223;5
217500;;;INTARIAN_PEPPER_ROOT;XIRECS;11224;6
220600;;;INTARIAN_PEPPER_ROOT;XIRECS;11217;4
224300;;;INTARIAN_PEPPER_ROOT;XIRECS;11230;3
224800;;;ASH_COATED_OSMIUM;XIRECS;10012;5
225000;;;INTARIAN_PEPPER_ROOT;XIRECS;11219;7
226200;;;ASH_COATED_OSMIUM;XIRECS;9997;6
227600;;;ASH_COATED_OSMIUM;XIRECS;9996;5
228000;;;ASH_COATED_OSMIUM;XIRECS;9995;5
229200;;;ASH_COATED_OSMIUM;XIRECS;10004;2
229600;;;ASH_COATED_OSMIUM;XIRECS;10011;5
234600;;;INTARIAN_PEPPER_ROOT;XIRECS;11241;4
235600;;;ASH_COATED_OSMIUM;XIRECS;9993;8
236100;;;ASH_COATED_OSMIUM;XIRECS;9992;4
236500;;;ASH_COATED_OSMIUM;XIRECS;9994;2
236600;;;ASH_COATED_OSMIUM;XIRECS;9993;4
237000;;;ASH_COATED_OSMIUM;XIRECS;10014;5
237100;;;ASH_COATED_OSMIUM;XIRECS;9996;3
237500;;;INTARIAN_PEPPER_ROOT;XIRECS;11244;4
239700;;;INTARIAN_PEPPER_ROOT;XIRECS;11246;7
241700;;;ASH_COATED_OSMIUM;XIRECS;9994;7
242000;;;INTARIAN_PEPPER_ROOT;XIRECS;11248;7
